mileage,mpg_city,feature_list,make,mpg_highway,stock_number,location,year,model,type,price
45K,22,"Cold Weather Package, 4WD/AWD, Power Liftgate/DeckLid, Turbo Charged Engine, Leather Seats",BMW,32,13790922,Dulles,2012,528 XI,sedan,"$23,998"
3K,24,"Premium Package, Leather Seats, Panoramic Sunroof, Harman Kardon Sound, Parking Sensors",Kia,35,14472771,Dulles,2016,Optima EX,sedan,"$22,998"
37K,20,"4WD/AWD, Turbo Charged Engine, Leather Seats, Rear View Camera, Navigation System",Audi,29,14304653,Dulles,2014,A4 Premium,sedan,"$22,998"
24K,18,"Technology Package, Power Liftgate/DeckLid, Auto Cruise Control, 4WD/AWD, Leather Seats",Lincoln,26,13870781,Dulles,2013,MKZ,sedan,"$22,599"
33K,25,"Turbo Charged Engine, Leather Seats, Navigation System, Front Seat Heaters, Sunroof(s)",Volvo,37,14288314,Dulles,2015,S60 T5 Premier,sedan,"$21,998"
37K,19,"Premium Package, 4WD/AWD, Leatherette Seats, Harman Kardon Sound, Navigation System",Mercedes-Benz,28,14472376,Dulles,2014,C300 Sport,sedan,"$21,998"
14K,19,"Leather Seats, Rear View Camera, Navigation System, Front Seat Heaters, Satellite Radio Ready",Chrysler,31,14200026,Dulles,2015,300 Limited,sedan,"$21,998"
31K,24,"Premium Package, Sport Package, Technology Package, Cold Weather Package, Run Flat Tires",BMW,36,14232454,Dulles,2012,328 I,sedan,"$21,998"
19K,19,"Luxury Package, Premium Package, Leather Seats, Panoramic Sunroof, Infinity Sound System",Kia,28,14497208,Dulles,2014,Cadenza Premium,sedan,"$21,599"
34K,18,"Premium Package, 4WD/AWD, Turbo Charged Engine, Leather Seats, Rear View Camera",Volvo,26,14019237,Dulles,2012,S60 T6,sedan,"$20,998"
36K,27,"Rear View Camera, Cruise Control, Auxiliary Audio Input, Rear Spoiler, Alloy Wheels",Honda,37,14472317,Dulles,2016,Accord Sport,sedan,"$20,998"
19K,19,"Leather Seats, Alpine Sound System, Rear View Camera, Navigation System, Front Seat Heaters",Chrysler,31,14445860,Dulles,2014,300 C,sedan,"$20,998"
16K,18,"Convenience Package, 4WD/AWD, Leather Seats, Rear View Camera, Navigation System",Chrysler,27,14253125,Dulles,2014,300,sedan,"$20,998"
21K,23,"Premium Package, Run Flat Tires, 4WD/AWD, Turbo Charged Engine, Leatherette Seats",BMW,35,14209277,Dulles,2013,320 XI,sedan,"$20,998"
36K,23,"4WD/AWD, Turbo Charged Engine, Leatherette Seats, Parking Sensors, Rear View Camera",BMW,35,14181077,Dulles,2014,320 XI,sedan,"$20,998"
23K,18,"Technology Package, 4WD/AWD, Leather Seats, Sunroof(s), Rear View Camera",Acura,26,14471804,Dulles,2012,TL SH-AWD,sedan,"$20,998"
85K,17,"Premium Package, 4WD/AWD, Leather Seats, Rear View Camera, Navigation System",Infiniti,24,14103894,Dulles,2012,M37 X,sedan,"$20,599"
10K,19,"Convenience Package, Parking Sensors, Rear View Camera, Cruise Control, Auxiliary Audio Input",Chevrolet,29,14200036,Dulles,2014,Impala LT,sedan,"$20,599"
37K,24,"Turbo Charged Engine, Leather Seats, Front Seat Heaters, Navigation System, Sunroof(s)",Volkswagen,33,13904512,Dulles,2013,GTI Autobahn,sedan,"$19,998"
49K,19,"4WD/AWD, Leatherette Seats, Harman Kardon Sound, Rear View Camera, Navigation System",Mercedes-Benz,28,14289605,Dulles,2013,C300 Sport,sedan,"$19,998"
24K,23,"Technology Package, Leather Seats, Sunroof(s), Infinity Sound System, Parking Sensors",Kia,34,14181137,Dulles,2014,Optima SX,sedan,"$19,998"
26K,0,,Honda,0,14472368,Dulles,2014,Accord Sport,sedan,"$19,998"
43K,21,"Leather Seats, Sunroof(s), Rear View Camera, Front Seat Heaters, Cruise Control",Honda,32,14472318,Dulles,2014,Accord EX-L,sedan,"$19,998"
11K,30,"Turbo Charged Engine, Leather Seats, Rear View Camera, Front Seat Heaters, Cruise Control",Chevrolet,42,14422715,Dulles,2016,Cruze Premier,sedan,"$19,998"
49K,18,"4WD/AWD, Leather Seats, Rear View Camera, Front Seat Heaters, Panoramic Sunroof",Cadillac,26,14472345,Dulles,2013,CTS Luxury,sedan,"$19,998"
67K,18,"Cold Weather Package, 4WD/AWD, Leather Seats, Rear View Camera, Navigation System",Audi,26,14313828,Dulles,2010,A6 Prestige,sedan,"$19,998"
37K,25,"Leather & Suede Seats, Sunroof(s), Rear View Camera, Navigation System, Front Seat Heaters",Toyota,35,13870029,Dulles,2015,Camry XSE,sedan,"$19,599"
57K,19,"Premium Package, 4WD/AWD, Leatherette Seats, Harman Kardon Sound, Rear View Camera",Mercedes-Benz,28,14386506,Dulles,2013,C300 Sport,sedan,"$19,599"
47K,23,"Turbo Charged Engine, Leather Seats, Sunroof(s), Navigation System, Front Seat Heaters",Ford,32,14024718,Dulles,2013,Focus ST,sedan,"$19,599"
24K,0,"Run Flat Tires, Turbo Charged Engine, Leatherette Seats, Rear View Camera, Sunroof(s)",Cadillac,0,14315493,Dulles,2013,ATS,sedan,"$19,599"
48K,22,"Turbo Charged Engine, Leatherette Seats, Rear View Camera, Navigation System, Front Seat Heaters",Volkswagen,31,14315143,Dulles,2014,CC R-Line,sedan,"$18,998"
78K,15,"Premium Package, Sport Package, Leather Seats, Front Seat Heaters, Cruise Control",Pontiac,24,13874815,Dulles,2008,G8 GT,sedan,"$18,998"
41K,22,"Limited Edition, Turbo Charged Engine, Leather Seats, Panoramic Sunroof, Infinity Sound System",Kia,34,14315272,Dulles,2013,Optima SXL,sedan,"$18,998"
15K,21,"Technology Package, Turbo Charged Engine, Leather Seats, Panoramic Sunroof, Infinity Sound System",Hyundai,32,14226435,Dulles,2014,Sonata Limited,sedan,"$18,998"
11K,27,"Leather Seats, Rear View Camera, Front Seat Heaters, Cruise Control, Auxiliary Audio Input",Honda,36,14472276,Dulles,2014,Accord LX,sedan,"$18,998"
36K,23,"Turbo Charged Engine, Sunroof(s), Cruise Control, Auxiliary Audio Input, Rear Spoiler",Ford,32,14315552,Dulles,2014,Focus ST,sedan,"$18,998"
29K,22,"Turbo Charged Engine, Leather Seats, Sunroof(s), Parking Sensors, Rear View Camera",Ford,33,14255194,Dulles,2014,Fusion Titanium,sedan,"$18,998"
27K,21,"Convenience Package, Sunroof(s), Parking Sensors, Rear View Camera, Cruise Control",Chevrolet,31,14448730,Dulles,2014,Impala LT,sedan,"$18,998"
47K,19,"Premium Package, 4WD/AWD, Leatherette Seats, Harman Kardon Sound, Rear View Camera",Mercedes-Benz,28,14289606,Dulles,2013,C300 Luxury,sedan,"$18,599"
49K,20,"Premium Package, Technology Package, Turbo Charged Engine, Leather Seats, Panoramic Sunroof",Kia,31,14435002,Dulles,2014,Optima SX,sedan,"$18,599"
21K,25,"Premium Package, Technology Package, Rear View Camera, Navigation System, Front Seat Heaters",Hyundai,37,14472242,Dulles,2015,Sonata Sport,sedan,"$18,599"
33K,0,"Rear View Camera, Cruise Control, Auxiliary Audio Input, Rear Spoiler, Alloy Wheels",Honda,0,14288184,Dulles,2014,Accord Sport,sedan,"$18,599"
42K,24,"Turbo Charged Engine, Leatherette Seats, Sunroof(s), Navigation System, Front Seat Heaters",Volkswagen,32,14315113,Dulles,2013,GLI Autobahn,sedan,"$17,998"
36K,40,"Convenience Package, Leather & Suede Seats, Sunroof(s), JBL Sound System, Rear View Camera",Toyota,38,14472503,Dulles,2012,Camry Hybrid XLE,sedan,"$17,998"
52K,19,"Sport Package, 4WD/AWD, Leatherette Seats, Front Seat Heaters, Sunroof(s)",Mercedes-Benz,28,14472127,Dulles,2013,C300 Sport,sedan,"$17,998"
45K,18,"4WD/AWD, Leatherette Seats, Navigation System, Front Seat Heaters, Sunroof(s)",Mercedes-Benz,25,14471759,Dulles,2010,C300 Sport,sedan,"$17,998"
44K,23,"Technology Package, Leather Seats, Infinity Sound System, Parking Sensors, Rear View Camera",Kia,34,14387264,Dulles,2014,Optima SX,sedan,"$17,998"
43K,19,"4WD/AWD, Leather Seats, Rear View Camera, Front Seat Heaters, Sunroof(s)",Infiniti,27,14332815,Dulles,2012,G25 X,sedan,"$17,998"
19K,35,"Leather Seats, Parking Sensors, Rear View Camera, Navigation System, Front Seat Heaters",Chevrolet,40,14321689,Dulles,2013,Volt,sedan,"$17,998"
35K,24,"Leather Seats, Rear View Camera, Front Seat Heaters, Sunroof(s), Auxiliary Audio Input",Acura,35,13891885,Dulles,2014,ILX,sedan,"$17,998"
21K,25,"Sunroof(s), Rear View Camera, Navigation System, Cruise Control, Auxiliary Audio Input",Toyota,35,14199814,Dulles,2014,Camry SE,sedan,"$17,599"
28K,29,"Leatherette Seats, Sunroof(s), Rear View Camera, Navigation System, Front Seat Heaters",Toyota,38,14024756,Dulles,2014,Corolla S PREMIUM,sedan,"$17,599"
46K,26,"Auto Cruise Control, Leather Seats, Sunroof(s), Rear View Camera, Navigation System",Mazda,38,14024316,Dulles,2014,Mazda6 I Grand Touring,sedan,"$17,599"
28K,25,"Premium Package, Rear View Camera, Front Seat Heaters, Cruise Control, Auxiliary Audio Input",Hyundai,37,14315281,Dulles,2015,Sonata Sport,sedan,"$17,599"
28K,27,"Sunroof(s), Rear View Camera, Cruise Control, Auxiliary Audio Input, Alloy Wheels",Honda,36,14322267,Dulles,2013,Accord EX,sedan,"$17,599"
16K,27,"Rear View Camera, Cruise Control, Auxiliary Audio Input, Alloy Wheels, Overhead Airbags",Honda,36,14288192,Dulles,2014,Accord LX,sedan,"$17,599"
50K,26,"Leather Seats, Sunroof(s), Rear View Camera, Navigation System, Front Seat Heaters",Mazda,38,13789717,Dulles,2014,Mazda6 I Grand Touring,sedan,"$16,998"
36K,21,"Premium Package, Turbo Charged Engine, Sunroof(s), Rear View Camera, Navigation System",Hyundai,32,14421634,Dulles,2014,Sonata SE,sedan,"$16,998"
18K,24,"Rear View Camera, Front Seat Heaters, Cruise Control, Auxiliary Audio Input, Alloy Wheels",Hyundai,35,14060115,Dulles,2016,Elantra Sport,sedan,"$16,998"
27K,27,"Rear View Camera, Cruise Control, Auxiliary Audio Input, Alloy Wheels, Overhead Airbags",Honda,36,14315576,Dulles,2014,Accord LX,sedan,"$16,998"
26K,27,"Rear View Camera, Cruise Control, Auxiliary Audio Input, Alloy Wheels, Overhead Airbags",Honda,36,14289587,Dulles,2014,Accord LX,sedan,"$16,998"
33K,27,"Convenience Package, Diesel Engine, Leather Seats, Sunroof(s), Rear View Camera",Chevrolet,46,14322523,Dulles,2014,Cruze Diesel,sedan,"$16,998"
59K,22,"Technology Package, Leather Seats, Rear View Camera, Navigation System, Front Seat Heaters",Acura,31,14472252,Dulles,2012,TSX,sedan,"$16,998"
24K,25,"Rear View Camera, Cruise Control, Auxiliary Audio Input, Overhead Airbags, Traction Control",Toyota,35,14472336,Dulles,2015,Camry LE,sedan,"$16,599"
71K,0,"4WD/AWD, Turbo Charged Engine, Leather Seats, Parking Sensors, Rear View Camera",Audi,0,14313868,Dulles,2009,A4 2.0T Prestige,sedan,"$16,599"
21K,29,"Rear View Camera, Cruise Control, Auxiliary Audio Input, Rear Spoiler, Alloy Wheels",Toyota,38,14472627,Dulles,2015,Corolla S Plus,sedan,"$15,998"
43K,25,"Convenience Package, Leather & Suede Seats, Sunroof(s), Rear View Camera, Navigation System",Toyota,35,14314897,Dulles,2013,Camry SE,sedan,"$15,998"
45K,36,"Leather Seats, Infinity Sound System, Rear View Camera, Navigation System, Front Seat Heaters",Hyundai,40,14472316,Dulles,2013,Sonata Hybrid Limited,sedan,"$15,998"
43K,36,"Leather Seats, Infinity Sound System, Rear View Camera, Navigation System, Front Seat Heaters",Hyundai,40,14315129,Dulles,2013,Sonata Hybrid Limited,sedan,"$15,998"
27K,33,"Sunroof(s), Rear View Camera, Cruise Control, Auxiliary Audio Input, Rear Spoiler",Honda,41,14472404,Dulles,2015,Fit EX,sedan,"$15,998"
25K,0,"Sunroof(s), Rear View Camera, Cruise Control, Auxiliary Audio Input, Alloy Wheels",Honda,0,14472380,Dulles,2014,Civic EX,sedan,"$15,998"
34K,30,"Sunroof(s), Rear View Camera, Cruise Control, Auxiliary Audio Input, Alloy Wheels",Honda,39,14315572,Dulles,2014,Civic EX,sedan,"$15,998"
8K,29,"Rear View Camera, Cruise Control, Auxiliary Audio Input, Rear Spoiler, Overhead Airbags",Honda,37,14314667,Dulles,2015,Fit LX,sedan,"$15,998"
34K,30,"Rear View Camera, Cruise Control, Auxiliary Audio Input, Alloy Wheels, Overhead Airbags",Honda,39,14314762,Dulles,2015,Civic SE,sedan,"$15,998"
62K,22,"Turbo Charged Engine, Leather Seats, Sunroof(s), Parking Sensors, Rear View Camera",Ford,33,14315520,Dulles,2013,Fusion Titanium,sedan,"$15,998"
4K,22,"Cruise Control, Auxiliary Audio Input, Overhead Airbags, Traction Control, Side Airbags",Ford,34,14319265,Dulles,2014,Fusion S,sedan,"$15,998"
71K,0,"4WD/AWD, Turbo Charged Engine, Leather Seats, Front Seat Heaters, Sunroof(s)",Audi,0,14314473,Dulles,2009,A4 2.0T Premium Plus,sedan,"$15,998"
59K,0,"4WD/AWD, Turbo Charged Engine, Leather Seats, Front Seat Heaters, Sunroof(s)",Audi,0,12795272,Dulles,2011,A4 Premium,sedan,"$15,998"
69K,17,"4WD/AWD, Leather Seats, Sunroof(s), Front Seat Heaters, Cruise Control",Acura,25,14472053,Dulles,2009,TL SH-AWD,sedan,"$15,998"
24K,25,"Cruise Control, Auxiliary Audio Input, Overhead Airbags, Traction Control, Side Airbags",Toyota,35,14387037,Dulles,2014,Camry LE,sedan,"$15,599"
14K,24,"Rear View Camera, Front Seat Heaters, Cruise Control, Auxiliary Audio Input, Alloy Wheels",Hyundai,35,14313917,Dulles,2014,Sonata GLS,sedan,"$15,599"
33K,23,"Sunroof(s), Cruise Control, Auxiliary Audio Input, Alloy Wheels, Overhead Airbags",Honda,34,14315590,Dulles,2012,Accord EX,sedan,"$15,599"
25K,27,"Leather Seats, Sunroof(s), Parking Sensors, Rear View Camera, Cruise Control",Ford,40,14007649,Dulles,2016,Focus SE,sedan,"$15,599"
46K,26,"Turbo Charged Engine, Leather Seats, Sunroof(s), Pioneer Sound System, Parking Sensors",Chevrolet,38,14342610,Dulles,2013,Cruze LTZ,sedan,"$15,599"
30K,29,"Rear View Camera, Cruise Control, Auxiliary Audio Input, Rear Spoiler, Alloy Wheels",Toyota,38,14472388,Dulles,2014,Corolla S,sedan,"$14,998"
21K,29,"Rear View Camera, Cruise Control, Auxiliary Audio Input, Rear Spoiler, Alloy Wheels",Toyota,38,14472383,Dulles,2014,Corolla S,sedan,"$14,998"
10K,29,,Toyota,38,14496909,Dulles,2014,Corolla LE,sedan,"$14,998"
36K,25,"Cruise Control, Auxiliary Audio Input, Overhead Airbags, Traction Control, Side Airbags",Toyota,35,14253513,Dulles,2014,Camry LE,sedan,"$14,998"
26K,29,"Rear View Camera, Cruise Control, Auxiliary Audio Input, Rear Spoiler, Alloy Wheels",Toyota,38,14315565,Dulles,2014,Corolla S Plus,sedan,"$14,998"
25K,25,"Rear View Camera, Cruise Control, Auxiliary Audio Input, Overhead Airbags, Traction Control",Toyota,35,14341036,Dulles,2014,Camry LE,sedan,"$14,998"
28K,25,"Cruise Control, Auxiliary Audio Input, Overhead Airbags, Traction Control, Side Airbags",Toyota,35,14322271,Dulles,2014,Camry LE,sedan,"$14,998"
60K,18,"4WD/AWD, Turbo Charged Engine, Leather Seats, Sunroof(s), Front Seat Heaters",Subaru,24,13904484,Dulles,2008,Legacy 2.5GT Limited,sedan,"$14,998"
32K,27,"Cruise Control, Auxiliary Audio Input, Overhead Airbags, Traction Control, Side Airbags",Nissan,38,14421418,Dulles,2015,Altima S,sedan,"$14,998"
9K,28,"Rear View Camera, Front Seat Heaters, Cruise Control, Auxiliary Audio Input, Alloy Wheels",Hyundai,38,14472647,Dulles,2014,Elantra SE,sedan,"$14,998"
14K,28,"Rear View Camera, Cruise Control, Auxiliary Audio Input, Alloy Wheels, Overhead Airbags",Hyundai,38,14315256,Dulles,2016,Elantra SE,sedan,"$14,998"
19K,24,"Rear View Camera, Front Seat Heaters, Cruise Control, Auxiliary Audio Input, Alloy Wheels",Hyundai,35,14446001,Dulles,2014,Sonata GLS,sedan,"$14,998"
61K,23,"Leather Seats, Sunroof(s), Front Seat Heaters, Cruise Control, Auxiliary Audio Input",Honda,34,14472667,Dulles,2011,Accord EX-L,sedan,"$14,998"
26K,33,"Rear View Camera, Cruise Control, Auxiliary Audio Input, Overhead Airbags, Traction Control",Honda,41,14472131,Dulles,2015,Fit LX,sedan,"$14,998"
39K,26,"Turbo Charged Engine, Leather Seats, Sunroof(s), Pioneer Sound System, Rear View Camera",Chevrolet,38,14221571,Dulles,2015,Cruze LTZ,sedan,"$14,998"
23K,21,"Rear View Camera, Satellite Radio Ready, Auxiliary Audio Input, Overhead Airbags, ABS Brakes",Buick,32,14319286,Dulles,2014,Verano,sedan,"$14,998"
84K,25,"Head Up Display, Leather Seats, Harman Kardon Sound, Parking Sensors, Rear View Camera",Buick,36,14315331,Dulles,2012,LaCrosse Premium,sedan,"$14,998"
69K,17,"4WD/AWD, Leatherette Seats, Front Seat Heaters, Sunroof(s), Satellite Radio Ready",Mercedes-Benz,25,13719668,Dulles,2008,C300 Luxury,sedan,"$14,599"
80K,22,"Premium Package, Technology Package, Turbo Charged Engine, Leather Seats, Panoramic Sunroof",Kia,34,14315088,Dulles,2011,Optima SX,sedan,"$14,599"
26K,23,"Convenience Package, Rear View Camera, Cruise Control, Auxiliary Audio Input, Alloy Wheels",Kia,34,14315269,Dulles,2014,Optima LX,sedan,"$14,599"
44K,28,"Technology Package, Leather Seats, Sunroof(s), Rear View Camera, Navigation System",Hyundai,38,14315257,Dulles,2013,Elantra Limited,sedan,"$14,599"
29K,28,"Leather Seats, Rear View Camera, Front Seat Heaters, Cruise Control, Auxiliary Audio Input",Hyundai,38,14472185,Dulles,2014,Elantra Limited,sedan,"$14,599"
20K,24,"Front Seat Heaters, Cruise Control, Auxiliary Audio Input, Alloy Wheels, Overhead Airbags",Hyundai,35,14322781,Dulles,2014,Sonata GLS,sedan,"$14,599"
22K,22,"Parking Sensors, Cruise Control, Auxiliary Audio Input, Alloy Wheels, Overhead Airbags",Ford,34,14319268,Dulles,2014,Fusion SE,sedan,"$14,599"
66K,22,"Turbo Charged Engine, Sunroof(s), Rear View Camera, Cruise Control, Auxiliary Audio Input",Ford,33,14314193,Dulles,2013,Fusion SE,sedan,"$14,599"
43K,19,"Leather Seats, Sunroof(s), Boston Sound System, Navigation System, Front Seat Heaters",Chrysler,29,14199462,Dulles,2014,200 Limited,sedan,"$14,599"
109K,20,"4WD/AWD, Leather Seats, Rear View Camera, Navigation System, Front Seat Heaters",Lexus,26,14314015,Dulles,2008,IS 250,sedan,"$13,998"
42K,23,"Convenience Package, Rear View Camera, Cruise Control, Auxiliary Audio Input, Alloy Wheels",Kia,34,14346562,Dulles,2014,Optima LX,sedan,"$13,998"
40K,28,"Leather Seats, Sunroof(s), Front Seat Heaters, Cruise Control, Auxiliary Audio Input",Hyundai,38,14471973,Dulles,2013,Elantra Limited,sedan,"$13,998"
40K,24,"Rear View Camera, Front Seat Heaters, Cruise Control, Auxiliary Audio Input, Alloy Wheels",Hyundai,35,14315280,Dulles,2014,Sonata GLS,sedan,"$13,998"
22K,28,"Rear View Camera, Front Seat Heaters, Cruise Control, Auxiliary Audio Input, Alloy Wheels",Hyundai,38,14417407,Dulles,2014,Elantra SE,sedan,"$13,998"
28K,28,"Rear View Camera, Cruise Control, Overhead Airbags, Traction Control, Side Airbags",Honda,36,14472384,Dulles,2014,Civic LX,sedan,"$13,998"
44K,30,"Rear View Camera, Cruise Control, Auxiliary Audio Input, Overhead Airbags, Traction Control",Honda,39,14315577,Dulles,2014,Civic LX,sedan,"$13,998"
33K,28,"Rear View Camera, Cruise Control, Auxiliary Audio Input, Overhead Airbags, Traction Control",Honda,39,14417882,Dulles,2013,Civic LX,sedan,"$13,998"
38K,28,"Rear View Camera, Cruise Control, Auxiliary Audio Input, Overhead Airbags, Traction Control",Honda,39,14288423,Dulles,2013,Civic LX,sedan,"$13,998"
34K,30,"Rear View Camera, Cruise Control, Auxiliary Audio Input, Overhead Airbags, Traction Control",Honda,39,14322269,Dulles,2014,Civic LX,sedan,"$13,998"
67K,23,"Turbo Charged Engine, Sunroof(s), Rear View Camera, Cruise Control, Auxiliary Audio Input",Ford,36,14472214,Dulles,2013,Fusion SE,sedan,"$13,998"
12K,27,"Rear View Camera, Cruise Control, Auxiliary Audio Input, Alloy Wheels, Overhead Airbags",Ford,40,14315512,Dulles,2016,Focus SE,sedan,"$13,998"
30K,27,"Leather Seats, Sunroof(s), Parking Sensors, Rear View Camera, Cruise Control",Ford,40,14346242,Dulles,2016,Focus SE,sedan,"$13,998"
33K,19,"Leather Seats, Sunroof(s), Boston Sound System, Navigation System, Front Seat Heaters",Chrysler,29,14199575,Dulles,2014,200 Limited,sedan,"$13,998"
42K,26,"Convenience Package, Turbo Charged Engine, Leather Seats, Front Seat Heaters, Cruise Control",Chevrolet,38,14352698,Dulles,2015,Cruze LT,sedan,"$13,998"
17K,26,"Convenience Package, Turbo Charged Engine, Cruise Control, Auxiliary Audio Input, Alloy Wheels",Chevrolet,38,14352695,Dulles,2015,Cruze LT,sedan,"$13,998"
34K,26,"Turbo Charged Engine, Rear View Camera, Cruise Control, Auxiliary Audio Input, Alloy Wheels",Chevrolet,38,14315346,Dulles,2015,Cruze LT,sedan,"$13,998"
17K,26,"Turbo Charged Engine, Cruise Control, Auxiliary Audio Input, Alloy Wheels, Overhead Airbags",Chevrolet,38,14253536,Dulles,2015,Cruze LT,sedan,"$13,998"
17K,17,"Front Seat Heaters, Overhead Airbags, ABS Brakes, Alloy Wheels, CD Audio",Buick,28,14472630,Dulles,2008,LaCrosse CX,sedan,"$13,998"
23K,0,"Cruise Control, Auxiliary Audio Input, Overhead Airbags, Traction Control, Side Airbags",Toyota,0,14180040,Dulles,2013,Corolla LE,sedan,"$13,599"
63K,23,"Convenience Package, Rear View Camera, Cruise Control, Auxiliary Audio Input, Alloy Wheels",Kia,34,14314581,Dulles,2014,Optima LX,sedan,"$13,599"
28K,28,"Rear View Camera, Cruise Control, Auxiliary Audio Input, Alloy Wheels, Overhead Airbags",Hyundai,38,14471966,Dulles,2015,Elantra SE,sedan,"$13,599"
45K,24,"Front Seat Heaters, Cruise Control, Auxiliary Audio Input, Alloy Wheels, Overhead Airbags",Hyundai,35,14315278,Dulles,2013,Sonata GLS,sedan,"$13,599"
51K,28,"Leather Seats, Sunroof(s), Front Seat Heaters, Cruise Control, Auxiliary Audio Input",Hyundai,38,14181109,Dulles,2013,Elantra Limited,sedan,"$13,599"
55K,28,"Sunroof(s), Cruise Control, Auxiliary Audio Input, Alloy Wheels, Overhead Airbags",Honda,39,14472448,Dulles,2012,Civic EX,sedan,"$13,599"
43K,28,"Leather Seats, Sunroof(s), Front Seat Heaters, Cruise Control, Auxiliary Audio Input",Honda,39,14180744,Dulles,2012,Civic EX-L,sedan,"$13,599"
29K,28,"Rear View Camera, Cruise Control, Auxiliary Audio Input, Overhead Airbags, Traction Control",Honda,39,14046849,Dulles,2013,Civic LX,sedan,"$13,599"
17K,26,"Convenience Package, Turbo Charged Engine, Cruise Control, Auxiliary Audio Input, Alloy Wheels",Chevrolet,38,14253764,Dulles,2014,Cruze LT,sedan,"$13,599"
41K,29,"Rear View Camera, Cruise Control, Auxiliary Audio Input, Overhead Airbags, Traction Control",Toyota,38,14294743,Dulles,2015,Corolla LE,sedan,"$12,998"
102K,19,,Nissan,26,14472498,Dulles,2010,Maxima SV,sedan,"$12,998"
43K,29,"Rear View Camera, Cruise Control, Auxiliary Audio Input, Overhead Airbags, Traction Control",Nissan,39,14246372,Dulles,2015,Sentra SV,sedan,"$12,998"
41K,29,"Rear View Camera, Cruise Control, Auxiliary Audio Input, Overhead Airbags, Traction Control",Nissan,39,14246381,Dulles,2015,Sentra SV,sedan,"$12,998"
60K,27,"Cruise Control, Auxiliary Audio Input, Overhead Airbags, Traction Control, Side Airbags",Nissan,38,14200028,Dulles,2013,Altima S,sedan,"$12,998"
42K,29,"Rear View Camera, Cruise Control, Auxiliary Audio Input, Overhead Airbags, Traction Control",Nissan,39,14200052,Dulles,2015,Sentra SV,sedan,"$12,998"
43K,29,"Rear View Camera, Cruise Control, Auxiliary Audio Input, Overhead Airbags, Traction Control",Nissan,39,14294738,Dulles,2015,Sentra SV,sedan,"$12,998"
43K,28,"Cruise Control, Auxiliary Audio Input, Alloy Wheels, Overhead Airbags, Traction Control",Hyundai,38,14246362,Dulles,2015,Elantra SE,sedan,"$12,998"
57K,24,"Front Seat Heaters, Cruise Control, Auxiliary Audio Input, Alloy Wheels, Overhead Airbags",Hyundai,35,14472116,Dulles,2013,Sonata GLS,sedan,"$12,998"
32K,28,,Hyundai,38,14346547,Dulles,2014,Elantra SE,sedan,"$12,998"
28K,28,"Front Seat Heaters, Cruise Control, Auxiliary Audio Input, Alloy Wheels, Overhead Airbags",Hyundai,38,14471978,Dulles,2013,Elantra GLS,sedan,"$12,998"
37K,28,"Front Seat Heaters, Cruise Control, Auxiliary Audio Input, Alloy Wheels, Overhead Airbags",Hyundai,38,14315254,Dulles,2013,Elantra GLS,sedan,"$12,998"
59K,27,"Leather Seats, Sunroof(s), Parking Sensors, Rear View Camera, Navigation System",Ford,38,14472333,Dulles,2013,Focus Titanium,sedan,"$12,998"
32K,26,"Convenience Package, Turbo Charged Engine, Rear View Camera, Cruise Control, Auxiliary Audio Input",Chevrolet,38,14319288,Dulles,2013,Cruze ECO,sedan,"$12,998"
2K,25,"Cruise Control, Auxiliary Audio Input, Rear Spoiler, Alloy Wheels, Overhead Airbags",Chevrolet,35,14084318,Dulles,2015,Sonic LT,sedan,"$12,998"
28K,22,"Auxiliary Audio Input, Overhead Airbags, Traction Control, Side Airbags, Air Conditioning",Chevrolet,35,14253521,Dulles,2014,Cruze LS,sedan,"$12,998"
37K,27,"Turbo Charged Engine, Leatherette Seats, Rear View Camera, Front Seat Heaters, Cruise Control",Chevrolet,37,14199978,Dulles,2015,Sonic LTZ,sedan,"$12,998"
27K,26,"Convenience Package, Turbo Charged Engine, Cruise Control, Auxiliary Audio Input, Alloy Wheels",Chevrolet,38,14199482,Dulles,2014,Cruze LT,sedan,"$12,998"
18K,22,"Auxiliary Audio Input, Overhead Airbags, Traction Control, Side Airbags, Air Conditioning",Chevrolet,35,14209935,Dulles,2014,Cruze LS,sedan,"$12,998"
19K,22,"Auxiliary Audio Input, Overhead Airbags, Traction Control, Side Airbags, Air Conditioning",Chevrolet,35,14093465,Dulles,2014,Cruze LS,sedan,"$12,998"
85K,17,"Premium Package, 4WD/AWD, Leatherette Seats, Front Seat Heaters, Sunroof(s)",BMW,25,14315477,Dulles,2008,328 XI,sedan,"$12,998"
72K,25,"Turbo Charged Engine, Leatherette Seats, Sunroof(s), Front Seat Heaters, Cruise Control",Volkswagen,36,14315602,Dulles,2014,Jetta SE,sedan,"$12,599"
23K,23,,Volkswagen,29,14166883,Dulles,2014,Jetta S,sedan,"$12,599"
40K,28,"Front Seat Heaters, Cruise Control, Auxiliary Audio Input, Alloy Wheels, Overhead Airbags",Hyundai,38,14315255,Dulles,2013,Elantra GLS,sedan,"$12,599"
60K,28,"Leather Seats, Sunroof(s), Front Seat Heaters, Cruise Control, Auxiliary Audio Input",Hyundai,38,14314090,Dulles,2013,Elantra Limited,sedan,"$12,599"
43K,28,"Cruise Control, Auxiliary Audio Input, Overhead Airbags, Traction Control, Side Airbags",Honda,39,14315558,Dulles,2012,Civic LX,sedan,"$12,599"
