city,state,zipcode,county,employer_name,case_number
NEW YORK ,NEW YORK ,10019 ,NEW YORK ,BARCLAYS CAPITAL INC. ,I-200-16190-307527 
NEW YORK ,NEW YORK ,10019 ,NEW YORK ,BARCLAYS CAPITAL INC. ,I-200-16147-338679 
KETTERING ,OHIO ,45420 ,MONTGOMERY ,TENNECO AUTOMOTIVE OPERATING COMPANY INC ,I-200-16272-208198 
MONROE ,MICHIGAN ,48161 ,MONROE ,TENNECO AUTOMOTIVE OPERATING COMPANY INC ,I-200-16281-706103 
LIGONIER ,INDIANA ,46767 ,NOBLE ,TENNECO AUTOMOTIVE OPERATING COMPANY INC. ,I-200-16270-597888 
GRASS LAKE ,MICHIGAN ,49240 ,JACKSON ,TENNECO AUTOMOTIVE OPERATING COMPANY INC. ,I-200-16259-323681 
GRASS LAKE ,MICHIGAN ,49240 ,JACKSON ,TENNECO AUTOMOTIVE OPERATING COMPANY INC. ,I-200-16166-529506 
GRASS LAKE ,MICHIGAN ,49240 ,JACKSON ,TENNECO AUTOMOTIVE OPERATING COMPANY INC. ,I-200-16158-946476 
GRASS LAKE ,MICHIGAN ,49240 ,JACKSON ,TENNECO AUTOMOTIVE OPERATING COMPANY INC. ,I-200-16131-994193 
FRANKLIN LAKES ,NEW JERSEY ,07417 ,BERGEN ,"MEDCO HEALTH SERVICES, INC. ",I-200-16273-347141 
FRANKLIN LAKES ,NEW JERSEY ,07417 ,BERGEN ,"MEDCO HEALTH SERVICES, INC. ",I-200-16270-603262 
GARDEN CITY ,NEW YORK ,11530 ,NASSAU ,TALX CORPORATION ,I-200-16258-375881 
ST. LOUIS ,MISSOURI ,63146 ,ST. LOUIS ,TALX CORPORATION ,I-200-16167-323144 
IVLAND ,PENNSYLVANIA ,18974 ,BUCKS ,FINISH TECH CORPORATION ,I-200-16270-605095 
PHILADELPHIA ,PENNSYLVANIA ,19112 ,PHILADELPHIA ,CORIXA CORPORATION ,I-200-16313-997119 
PHILADELPHIA ,PENNSYLVANIA ,19112 ,PHILADELPHIA ,CORIXA CORPORATION ,I-200-16302-720099 
ROCKVILLE ,MARYLAND ,20850 ,MONTGOMERY ,CORIXA CORPORATION ,I-200-16270-607138 
ROCKVILLE ,MARYLAND ,20850 ,MONTGOMERY ,CORIXA CORPORATION ,I-200-16252-565499 
MARIETTA ,PENNSYLVANIA ,17547 ,LANCASTER ,CORIXA CORPORATION ,I-200-16217-023412 
MARIETTA ,PENNSYLVANIA ,17547 ,LANCASTER ,CORIXA CORPORATION ,I-200-16211-878902 
CHARLOTTE ,NORTH CAROLINA ,28223 ,MECKLENBURG ,UNIVERSITY OF NORTH CAROLINA AT CHARLOTTE ,I-200-16270-615047 
AUSTIN ,TEXAS ,78729 ,WILLIAMSON ,"PAYPAL DATA SERVICES, INC. ",I-200-16309-283443 
AUSTIN ,TEXAS ,78729 ,WILLIAMSON ,PAYPAL DATA SERVICES INC. ,I-200-16270-615130 
AUSTIN ,TEXAS ,78729 ,WILLIAMSON ,PAYPAL DATA SERVICES INC. ,I-200-16173-930617 
AUSTIN ,TEXAS ,78729 ,WILLIAMSON ,"PAYPAL DATA SERVICES, INC. ",I-200-16137-597832 
ROSEVILLE ,MINNESOTA ,55113 ,RAMSEY ,AMONGIT INC ,I-200-16270-616042 
PHILADELPHIA ,PENNSYLVANIA ,19103 ,PHILADELPHIA ,DELOITTE  TOUCHE LLP ,I-200-16323-074071 
CHICAGO ,ILLINOIS ,60654 ,COOK ,"UPTAKE TECHNOLOGIES, INC. ",I-200-16270-624335 
SAN FRANCISCO ,CALIFORNIA ,94107 ,SAN FRANCISCO ,"MACYS.COM, LLC ",I-200-16334-507476 
